"","iso_o","iso_d","dist"
"183","Arizona","BRA",18920.1022281508
"184","Arizona","California",611.104240970439
"185","Arizona","CAN",4649.0138990956
"186","Arizona","CHN",34532.6323758717
"187","Arizona","Colorado",927.243704614637
"188","Arizona","Connecticut",3567.87186688429
"189","Arizona","CYP",30724.310228752
"190","Arizona","CZE",61649.7845704273
"191","Arizona","Delaware",3336.58218866574
"192","Arizona","DEU",45774.4889888706
"193","Arizona","DNK",32663.4766262627
"194","Arizona","ESP",26531.0645884554
"195","Arizona","EST",24155.4936286623
"196","Arizona","FIN",33281.7403801166
"197","Arizona","Florida",2972.02081756913
"198","Arizona","FRA",24594.4001616413
"199","Arizona","GBR",19250.782745164
"200","Arizona","Georgia",2627.52533499879
"201","Arizona","GRC",29681.9390649397
"202","Arizona","Hawaii",4663.19614222474
"203","Arizona","HUN",49383.5159131353
"204","Arizona","Idaho",1205.75565620857
"205","Arizona","IDN",88298.4916011391
"206","Arizona","Illinois",2286.30353397418
"207","Arizona","IND",78582.9924130801
"208","Arizona","Indiana",2430.7604731892
"209","Arizona","Iowa",1936.69556454385
"210","Arizona","IRL",29972.819302565
"211","Arizona","ITA",23371.3927580058
"212","Arizona","JPN",13341.3263118038
"213","Arizona","Kansas",1512.32602492736
"214","Arizona","Kentucky",2481.39970388178
"215","Arizona","KOR",15035.3722744809
"216","Arizona","Louisiana",1969.3233803893
"217","Arizona","LTU",33869.8364575923
"218","Arizona","Maine",3835.62236190802
"219","Arizona","Maryland",3227.47546333033
"220","Arizona","Massachusetts",3692.66073072495
"221","Arizona","MEX",2505.79216138936
"222","Arizona","Michigan",2656.19850726295
"223","Arizona","Minnesota",2072.52783081976
"224","Arizona","Mississippi",2115.5254406644
"225","Arizona","Missouri",1883.22934012888
"226","Arizona","Montana",1507.05393947456
"227","Arizona","Nebraska",1569.3570778381
"228","Arizona","Nevada",463.863300036624
"229","Arizona","NewHampshire",3686.76301231162
"230","Arizona","NewJersey",3432.17144081324
"231","Arizona","NewMexico",560.264523734061
"232","Arizona","NewYork",3421.14666088282
"233","Arizona","NLD",41694.4771957055
"234","Arizona","NorthCarolina",2984.25167973216
